a=1, b=0, c=1
a=6555, b=6441, c=114
a=6670, b=6555, c=115
a=6786, b=6670, c=116
a=6903, b=6786, c=117
a=7021, b=6903, c=118
a=7140, b=7021, c=119
a=7260, b=7140, c=120
a=7381, b=7260, c=121
a=7503, b=7381, c=122
a=7626, b=7503, c=123
a=7750, b=7626, c=124
a=7875, b=7750, c=125
a=8001, b=7875, c=126
a=8128, b=8001, c=127
a=8256, b=8128, c=128
a=8385, b=8256, c=129
a=8515, b=8385, c=130
a=8646, b=8515, c=131
a=8778, b=8646, c=132
a=8911, b=8778, c=133
a=9045, b=8911, c=134
a=9180, b=9045, c=135
a=9316, b=9180, c=136
a=9453, b=9316, c=137
a=9591, b=9453, c=138
a=9730, b=9591, c=139
a=9870, b=9730, c=140
a=10011, b=9870, c=141
a=10153, b=10011, c=142
a=10296, b=10153, c=143
a=10440, b=10296, c=144
a=10585, b=10440, c=145
a=10731, b=10585, c=146
a=10878, b=10731, c=147
a=11026, b=10878, c=148
a=11175, b=11026, c=149
a=11325, b=11175, c=150
a=11476, b=11325, c=151
a=11628, b=11476, c=152
a=11781, b=11628, c=153
a=11935, b=11781, c=154
a=12090, b=11935, c=155
a=12246, b=12090, c=156
a=12403, b=12246, c=157
a=12561, b=12403, c=158
a=12720, b=12561, c=159
a=12880, b=12720, c=160
a=13041, b=12880, c=161
a=13203, b=13041, c=162
a=13366, b=13203, c=163
a=13530, b=13366, c=164
a=13695, b=13530, c=165
a=13861, b=13695, c=166
a=14028, b=13861, c=167
a=14196, b=14028, c=168
a=14365, b=14196, c=169
a=14535, b=14365, c=170
a=14706, b=14535, c=171
a=14878, b=14706, c=172
a=15051, b=14878, c=173
a=15225, b=15051, c=174
a=15400, b=15225, c=175
a=15576, b=15400, c=176
a=15753, b=15576, c=177
a=15931, b=15753, c=178
a=16110, b=15931, c=179
a=16290, b=16110, c=180
a=16471, b=16290, c=181
a=16653, b=16471, c=182
a=16836, b=16653, c=183
a=17020, b=16836, c=184
a=17205, b=17020, c=185
a=17391, b=17205, c=186
a=17578, b=17391, c=187
a=17766, b=17578, c=188
a=17955, b=17766, c=189
a=18145, b=17955, c=190
a=18336, b=18145, c=191
a=18528, b=18336, c=192
a=18721, b=18528, c=193
a=18915, b=18721, c=194
a=19110, b=18915, c=195
a=19306, b=19110, c=196
a=19503, b=19306, c=197
a=19701, b=19503, c=198
a=19900, b=19701, c=199
a=20100, b=19900, c=200
a=20301, b=20100, c=201
a=20503, b=20301, c=202
a=20706, b=20503, c=203
a=20910, b=20706, c=204
a=21115, b=20910, c=205
a=21321, b=21115, c=206
a=21528, b=21321, c=207
a=21736, b=21528, c=208
a=21945, b=21736, c=209
a=22155, b=21945, c=210
a=22366, b=22155, c=211
a=22578, b=22366, c=212
a=22791, b=22578, c=213
a=23005, b=22791, c=214
a=23220, b=23005, c=215
a=23436, b=23220, c=216
a=23653, b=23436, c=217
a=23871, b=23653, c=218
a=24090, b=23871, c=219
a=24310, b=24090, c=220
a=24531, b=24310, c=221
a=24753, b=24531, c=222
a=24976, b=24753, c=223
a=25200, b=24976, c=224
a=25425, b=25200, c=225
a=25651, b=25425, c=226
a=25878, b=25651, c=227
a=26106, b=25878, c=228
a=26335, b=26106, c=229
a=26565, b=26335, c=230
a=26796, b=26565, c=231
a=27028, b=26796, c=232
a=27261, b=27028, c=233
a=27495, b=27261, c=234
a=27730, b=27495, c=235
a=27966, b=27730, c=236
a=28203, b=27966, c=237
a=28441, b=28203, c=238
a=28680, b=28441, c=239
a=28920, b=28680, c=240
a=29161, b=28920, c=241
a=29403, b=29161, c=242
a=29646, b=29403, c=243
a=29890, b=29646, c=244
a=30135, b=29890, c=245
a=30381, b=30135, c=246
a=30628, b=30381, c=247
a=30876, b=30628, c=248
a=31125, b=30876, c=249
a=31375, b=31125, c=250
a=31626, b=31375, c=251
a=31878, b=31626, c=252
a=32131, b=31878, c=253
a=32385, b=32131, c=254
a=32640, b=32385, c=255
a=32896, b=32640, c=256
a=33153, b=32896, c=257
a=33411, b=33153, c=258
a=33670, b=33411, c=259
a=33930, b=33670, c=260
a=34191, b=33930, c=261
a=34453, b=34191, c=262
a=34716, b=34453, c=263
a=34980, b=34716, c=264
a=35245, b=34980, c=265
a=35511, b=35245, c=266
a=35778, b=35511, c=267
a=36046, b=35778, c=268
a=36315, b=36046, c=269
a=36585, b=36315, c=270
a=36856, b=36585, c=271
a=37128, b=36856, c=272
a=37401, b=37128, c=273
a=37675, b=37401, c=274
a=37950, b=37675, c=275
a=38226, b=37950, c=276
a=38503, b=38226, c=277
a=38781, b=38503, c=278
a=39060, b=38781, c=279
a=39340, b=39060, c=280
a=39621, b=39340, c=281
a=39903, b=39621, c=282
a=40186, b=39903, c=283
a=40470, b=40186, c=284
a=40755, b=40470, c=285
a=41041, b=40755, c=286
a=41328, b=41041, c=287
a=41616, b=41328, c=288
a=41905, b=41616, c=289
a=42195, b=41905, c=290
a=42486, b=42195, c=291
a=42778, b=42486, c=292
a=43071, b=42778, c=293
a=43365, b=43071, c=294
a=43660, b=43365, c=295
a=43956, b=43660, c=296
a=44253, b=43956, c=297
a=44551, b=44253, c=298
a=44850, b=44551, c=299
a=45150, b=44850, c=300
a=45451, b=45150, c=301
a=45753, b=45451, c=302
a=46056, b=45753, c=303
a=46360, b=46056, c=304
a=46665, b=46360, c=305
a=46971, b=46665, c=306
a=47278, b=46971, c=307
a=47586, b=47278, c=308
a=47895, b=47586, c=309
a=48205, b=47895, c=310
a=48516, b=48205, c=311
a=48828, b=48516, c=312
a=49141, b=48828, c=313
a=49455, b=49141, c=314
a=49770, b=49455, c=315
a=50086, b=49770, c=316
a=50403, b=50086, c=317
a=50721, b=50403, c=318
a=51040, b=50721, c=319
a=51360, b=51040, c=320
a=51681, b=51360, c=321
a=52003, b=51681, c=322
a=52326, b=52003, c=323
a=52650, b=52326, c=324
a=52975, b=52650, c=325
a=53301, b=52975, c=326
a=53628, b=53301, c=327
a=53956, b=53628, c=328
a=54285, b=53956, c=329
a=54615, b=54285, c=330
a=54946, b=54615, c=331
a=55278, b=54946, c=332
a=55611, b=55278, c=333
a=55945, b=55611, c=334
a=56280, b=55945, c=335
a=56616, b=56280, c=336
a=56953, b=56616, c=337
a=57291, b=56953, c=338
a=57630, b=57291, c=339
a=57970, b=57630, c=340
a=58311, b=57970, c=341
a=58653, b=58311, c=342
a=58996, b=58653, c=343
a=59340, b=58996, c=344
a=59685, b=59340, c=345
a=60031, b=59685, c=346
a=60378, b=60031, c=347
a=60726, b=60378, c=348
a=61075, b=60726, c=349
a=61425, b=61075, c=350
a=61776, b=61425, c=351
a=62128, b=61776, c=352
a=62481, b=62128, c=353
a=62835, b=62481, c=354
a=63190, b=62835, c=355
a=63546, b=63190, c=356
a=63903, b=63546, c=357
a=64261, b=63903, c=358
a=64620, b=64261, c=359
a=64980, b=64620, c=360
a=65341, b=64980, c=361
a=65703, b=65341, c=362
a=66066, b=65703, c=363
a=66430, b=66066, c=364
a=66795, b=66430, c=365
a=67161, b=66795, c=366
a=67528, b=67161, c=367
a=67896, b=67528, c=368
a=68265, b=67896, c=369
a=68635, b=68265, c=370
a=69006, b=68635, c=371
a=69378, b=69006, c=372
a=69751, b=69378, c=373
a=70125, b=69751, c=374
a=70500, b=70125, c=375
a=70876, b=70500, c=376
a=71253, b=70876, c=377
a=71631, b=71253, c=378
a=72010, b=71631, c=379
a=72390, b=72010, c=380
a=72771, b=72390, c=381
a=73153, b=72771, c=382
a=73536, b=73153, c=383
a=73920, b=73536, c=384
a=74305, b=73920, c=385
a=74691, b=74305, c=386
a=75078, b=74691, c=387
a=75466, b=75078, c=388
a=75855, b=75466, c=389
a=76245, b=75855, c=390
a=76636, b=76245, c=391
a=77028, b=76636, c=392
a=77421, b=77028, c=393
a=77815, b=77421, c=394
a=78210, b=77815, c=395
a=78606, b=78210, c=396
a=79003, b=78606, c=397
a=79401, b=79003, c=398
a=79800, b=79401, c=399
a=80200, b=79800, c=400
a=80601, b=80200, c=401
a=81003, b=80601, c=402
a=81406, b=81003, c=403
a=81810, b=81406, c=404
a=82215, b=81810, c=405
a=82621, b=82215, c=406
a=83028, b=82621, c=407
a=83436, b=83028, c=408
a=83845, b=83436, c=409
a=84255, b=83845, c=410
a=84666, b=84255, c=411
a=85078, b=84666, c=412
a=85491, b=85078, c=413
a=85905, b=85491, c=414
a=86320, b=85905, c=415
a=86736, b=86320, c=416
a=87153, b=86736, c=417
a=87571, b=87153, c=418
a=87990, b=87571, c=419
a=88410, b=87990, c=420
a=88831, b=88410, c=421
a=89253, b=88831, c=422
a=89676, b=89253, c=423
a=90100, b=89676, c=424
a=90525, b=90100, c=425
a=90951, b=90525, c=426
a=91378, b=90951, c=427
a=91806, b=91378, c=428
a=92235, b=91806, c=429
a=92665, b=92235, c=430
a=93096, b=92665, c=431
a=93528, b=93096, c=432
a=93961, b=93528, c=433
a=94395, b=93961, c=434
a=94830, b=94395, c=435
a=95266, b=94830, c=436
a=95703, b=95266, c=437
a=96141, b=95703, c=438
a=96580, b=96141, c=439
a=97020, b=96580, c=440
a=97461, b=97020, c=441
a=97903, b=97461, c=442
a=98346, b=97903, c=443
a=98790, b=98346, c=444
a=99235, b=98790, c=445
a=99681, b=99235, c=446
a=100128, b=99681, c=447
a=100576, b=100128, c=448
a=101025, b=100576, c=449
a=101475, b=101025, c=450
a=101926, b=101475, c=451
a=102378, b=101926, c=452
a=102831, b=102378, c=453
a=103285, b=102831, c=454
a=103740, b=103285, c=455
a=104196, b=103740, c=456
a=104653, b=104196, c=457
a=105111, b=104653, c=458
a=105570, b=105111, c=459
a=106030, b=105570, c=460
a=106491, b=106030, c=461
a=106953, b=106491, c=462
a=107416, b=106953, c=463
a=107880, b=107416, c=464
a=108345, b=107880, c=465
a=108811, b=108345, c=466
a=109278, b=108811, c=467
a=109746, b=109278, c=468
a=110215, b=109746, c=469
a=110685, b=110215, c=470
a=111156, b=110685, c=471
a=111628, b=111156, c=472
a=112101, b=111628, c=473
a=112575, b=112101, c=474
a=113050, b=112575, c=475
a=113526, b=113050, c=476
a=114003, b=113526, c=477
a=114481, b=114003, c=478
a=114960, b=114481, c=479
a=115440, b=114960, c=480
a=115921, b=115440, c=481
a=116403, b=115921, c=482
a=116886, b=116403, c=483
a=117370, b=116886, c=484
a=117855, b=117370, c=485
a=118341, b=117855, c=486
a=118828, b=118341, c=487
a=119316, b=118828, c=488
a=119805, b=119316, c=489
a=120295, b=119805, c=490
a=120786, b=120295, c=491
a=121278, b=120786, c=492
a=121771, b=121278, c=493
a=122265, b=121771, c=494
a=122760, b=122265, c=495
a=123256, b=122760, c=496
a=123753, b=123256, c=497
a=124251, b=123753, c=498
a=124750, b=124251, c=499
a=125250, b=124750, c=500
a=125751, b=125250, c=501
a=126253, b=125751, c=502
a=126756, b=126253, c=503
a=127260, b=126756, c=504
a=127765, b=127260, c=505
a=128271, b=127765, c=506
a=128778, b=128271, c=507
a=129286, b=128778, c=508
a=129795, b=129286, c=509
a=130305, b=129795, c=510
a=130816, b=130305, c=511
a=131328, b=130816, c=512
a=131841, b=131328, c=513
a=132355, b=131841, c=514
a=132870, b=132355, c=515
a=133386, b=132870, c=516
a=133903, b=133386, c=517
a=134421, b=133903, c=518
a=134940, b=134421, c=519
a=135460, b=134940, c=520
a=135981, b=135460, c=521
a=136503, b=135981, c=522
a=137026, b=136503, c=523
a=137550, b=137026, c=524
a=138075, b=137550, c=525
a=138601, b=138075, c=526
a=139128, b=138601, c=527
a=139656, b=139128, c=528
a=140185, b=139656, c=529
a=140715, b=140185, c=530
a=141246, b=140715, c=531
a=141778, b=141246, c=532
a=142311, b=141778, c=533
a=142845, b=142311, c=534
a=143380, b=142845, c=535
a=143916, b=143380, c=536
a=144453, b=143916, c=537
a=144991, b=144453, c=538
a=145530, b=144991, c=539
a=146070, b=145530, c=540
a=146611, b=146070, c=541
a=147153, b=146611, c=542
a=147696, b=147153, c=543
a=148240, b=147696, c=544
a=148785, b=148240, c=545
a=149331, b=148785, c=546
a=149878, b=149331, c=547
a=150426, b=149878, c=548
a=150975, b=150426, c=549
a=151525, b=150975, c=550
a=152076, b=151525, c=551
a=152628, b=152076, c=552
a=153181, b=152628, c=553
a=153735, b=153181, c=554
a=154290, b=153735, c=555
a=154846, b=154290, c=556
a=155403, b=154846, c=557
a=155961, b=155403, c=558
a=156520, b=155961, c=559
a=157080, b=156520, c=560
a=157641, b=157080, c=561
a=158203, b=157641, c=562
a=158766, b=158203, c=563
a=159330, b=158766, c=564
a=159895, b=159330, c=565
a=160461, b=159895, c=566
a=161028, b=160461, c=567
a=161596, b=161028, c=568
a=162165, b=161596, c=569
a=162735, b=162165, c=570
a=163306, b=162735, c=571
a=163878, b=163306, c=572
a=164451, b=163878, c=573
a=165025, b=164451, c=574
a=165600, b=165025, c=575
a=166176, b=165600, c=576
a=166753, b=166176, c=577
a=167331, b=166753, c=578
a=167910, b=167331, c=579
a=168490, b=167910, c=580
a=169071, b=168490, c=581
a=169653, b=169071, c=582
a=170236, b=169653, c=583
a=170820, b=170236, c=584
a=171405, b=170820, c=585
a=171991, b=171405, c=586
a=172578, b=171991, c=587
a=173166, b=172578, c=588
a=173755, b=173166, c=589
a=174345, b=173755, c=590
a=174936, b=174345, c=591
a=175528, b=174936, c=592
a=176121, b=175528, c=593
a=176715, b=176121, c=594
a=177310, b=176715, c=595
a=177906, b=177310, c=596
a=178503, b=177906, c=597
a=179101, b=178503, c=598
a=179700, b=179101, c=599
a=180300, b=179700, c=600
a=180901, b=180300, c=601
a=181503, b=180901, c=602
a=182106, b=181503, c=603
a=182710, b=182106, c=604
a=183315, b=182710, c=605
a=183921, b=183315, c=606
a=184528, b=183921, c=607
a=185136, b=184528, c=608
a=185745, b=185136, c=609
a=186355, b=185745, c=610
a=186966, b=186355, c=611
a=187578, b=186966, c=612
a=188191, b=187578, c=613
a=188805, b=188191, c=614
a=189420, b=188805, c=615
a=190036, b=189420, c=616
a=190653, b=190036, c=617
a=191271, b=190653, c=618
a=191890, b=191271, c=619
a=192510, b=191890, c=620
a=193131, b=192510, c=621
a=193753, b=193131, c=622
a=194376, b=193753, c=623
a=195000, b=194376, c=624
a=195625, b=195000, c=625
a=196251, b=195625, c=626
a=196878, b=196251, c=627
a=197506, b=196878, c=628
a=198135, b=197506, c=629
a=198765, b=198135, c=630
a=199396, b=198765, c=631
a=200028, b=199396, c=632
a=200661, b=200028, c=633
a=201295, b=200661, c=634
a=201930, b=201295, c=635
a=202566, b=201930, c=636
a=203203, b=202566, c=637
a=203841, b=203203, c=638
a=204480, b=203841, c=639
a=205120, b=204480, c=640
a=205761, b=205120, c=641
a=206403, b=205761, c=642
a=207046, b=206403, c=643
a=207690, b=207046, c=644
a=208335, b=207690, c=645
a=208981, b=208335, c=646
a=209628, b=208981, c=647
a=210276, b=209628, c=648
a=210925, b=210276, c=649
a=211575, b=210925, c=650
a=212226, b=211575, c=651
a=212878, b=212226, c=652
a=213531, b=212878, c=653
a=214185, b=213531, c=654
a=214840, b=214185, c=655
a=215496, b=214840, c=656
a=216153, b=215496, c=657
a=216811, b=216153, c=658
a=217470, b=216811, c=659
a=218130, b=217470, c=660
a=218791, b=218130, c=661
a=219453, b=218791, c=662
a=220116, b=219453, c=663
a=220780, b=220116, c=664
a=221445, b=220780, c=665
a=222111, b=221445, c=666
a=222778, b=222111, c=667
a=223446, b=222778, c=668
a=224115, b=223446, c=669
a=224785, b=224115, c=670
a=225456, b=224785, c=671
a=226128, b=225456, c=672
a=226801, b=226128, c=673
a=227475, b=226801, c=674
a=228150, b=227475, c=675
a=228826, b=228150, c=676
a=229503, b=228826, c=677
a=230181, b=229503, c=678
a=230860, b=230181, c=679
a=231540, b=230860, c=680
a=232221, b=231540, c=681
a=232903, b=232221, c=682
a=233586, b=232903, c=683
a=234270, b=233586, c=684
a=234955, b=234270, c=685
a=235641, b=234955, c=686
a=236328, b=235641, c=687
a=237016, b=236328, c=688
a=237705, b=237016, c=689
a=238395, b=237705, c=690
a=239086, b=238395, c=691
a=239778, b=239086, c=692
a=240471, b=239778, c=693
a=241165, b=240471, c=694
a=241860, b=241165, c=695
a=242556, b=241860, c=696
a=243253, b=242556, c=697
a=243951, b=243253, c=698
a=244650, b=243951, c=699
a=245350, b=244650, c=700
a=246051, b=245350, c=701
a=246753, b=246051, c=702
a=247456, b=246753, c=703
a=248160, b=247456, c=704
a=248865, b=248160, c=705
a=249571, b=248865, c=706
a=250278, b=249571, c=707
a=250986, b=250278, c=708
a=251695, b=250986, c=709
a=252405, b=251695, c=710
a=253116, b=252405, c=711
a=253828, b=253116, c=712
a=254541, b=253828, c=713
a=255255, b=254541, c=714
a=255970, b=255255, c=715
a=256686, b=255970, c=716
a=257403, b=256686, c=717
a=258121, b=257403, c=718
a=258840, b=258121, c=719
a=259560, b=258840, c=720
a=260281, b=259560, c=721
a=261003, b=260281, c=722
a=261726, b=261003, c=723
a=262450, b=261726, c=724
a=263175, b=262450, c=725
a=263901, b=263175, c=726
a=264628, b=263901, c=727
a=265356, b=264628, c=728
a=266085, b=265356, c=729
a=266815, b=266085, c=730
a=267546, b=266815, c=731
a=268278, b=267546, c=732
a=269011, b=268278, c=733
a=269745, b=269011, c=734
a=270480, b=269745, c=735
a=271216, b=270480, c=736
a=271953, b=271216, c=737
a=272691, b=271953, c=738
a=273430, b=272691, c=739
a=274170, b=273430, c=740
a=274911, b=274170, c=741
a=275653, b=274911, c=742
a=276396, b=275653, c=743
a=277140, b=276396, c=744
a=277885, b=277140, c=745
a=278631, b=277885, c=746
a=279378, b=278631, c=747
a=280126, b=279378, c=748
a=280875, b=280126, c=749
a=281625, b=280875, c=750
a=282376, b=281625, c=751
a=283128, b=282376, c=752
a=283881, b=283128, c=753
a=284635, b=283881, c=754
a=285390, b=284635, c=755
a=286146, b=285390, c=756
a=286903, b=286146, c=757
a=287661, b=286903, c=758
a=288420, b=287661, c=759
a=289180, b=288420, c=760
a=289941, b=289180, c=761
a=290703, b=289941, c=762
a=291466, b=290703, c=763
a=292230, b=291466, c=764
a=292995, b=292230, c=765
a=293761, b=292995, c=766
a=294528, b=293761, c=767
a=295296, b=294528, c=768
a=296065, b=295296, c=769
a=296835, b=296065, c=770
a=297606, b=296835, c=771
a=298378, b=297606, c=772
a=299151, b=298378, c=773
a=299925, b=299151, c=774
a=300700, b=299925, c=775
a=301476, b=300700, c=776
a=302253, b=301476, c=777
a=303031, b=302253, c=778
a=303810, b=303031, c=779
a=304590, b=303810, c=780
a=305371, b=304590, c=781
a=306153, b=305371, c=782
a=306936, b=306153, c=783
a=307720, b=306936, c=784
a=308505, b=307720, c=785
a=309291, b=308505, c=786
a=310078, b=309291, c=787
a=310866, b=310078, c=788
a=311655, b=310866, c=789
a=312445, b=311655, c=790
a=313236, b=312445, c=791
a=314028, b=313236, c=792
a=314821, b=314028, c=793
a=315615, b=314821, c=794
a=316410, b=315615, c=795
a=317206, b=316410, c=796
a=318003, b=317206, c=797
a=318801, b=318003, c=798
a=319600, b=318801, c=799
a=320400, b=319600, c=800
a=321201, b=320400, c=801
a=322003, b=321201, c=802
a=322806, b=322003, c=803
a=323610, b=322806, c=804
a=324415, b=323610, c=805
a=325221, b=324415, c=806
a=326028, b=325221, c=807
a=326836, b=326028, c=808
a=327645, b=326836, c=809
a=328455, b=327645, c=810
a=329266, b=328455, c=811
a=330078, b=329266, c=812
a=330891, b=330078, c=813
a=331705, b=330891, c=814
a=332520, b=331705, c=815
a=333336, b=332520, c=816
a=334153, b=333336, c=817
a=334971, b=334153, c=818
a=335790, b=334971, c=819
a=336610, b=335790, c=820
a=337431, b=336610, c=821
a=338253, b=337431, c=822
a=339076, b=338253, c=823
a=339900, b=339076, c=824
a=340725, b=339900, c=825
a=341551, b=340725, c=826
a=342378, b=341551, c=827
a=343206, b=342378, c=828
a=344035, b=343206, c=829
a=344865, b=344035, c=830
a=345696, b=344865, c=831
a=346528, b=345696, c=832
a=347361, b=346528, c=833
a=348195, b=347361, c=834
a=349030, b=348195, c=835
a=349866, b=349030, c=836
a=350703, b=349866, c=837
a=351541, b=350703, c=838
a=352380, b=351541, c=839
a=353220, b=352380, c=840
a=354061, b=353220, c=841
a=354903, b=354061, c=842
a=355746, b=354903, c=843
a=356590, b=355746, c=844
a=357435, b=356590, c=845
a=358281, b=357435, c=846
a=359128, b=358281, c=847
a=359976, b=359128, c=848
a=360825, b=359976, c=849
a=361675, b=360825, c=850
a=362526, b=361675, c=851
a=363378, b=362526, c=852
a=364231, b=363378, c=853
a=365085, b=364231, c=854
a=365940, b=365085, c=855
a=366796, b=365940, c=856
a=367653, b=366796, c=857
a=368511, b=367653, c=858
a=369370, b=368511, c=859
a=370230, b=369370, c=860
a=371091, b=370230, c=861
a=371953, b=371091, c=862
a=372816, b=371953, c=863
a=373680, b=372816, c=864
a=374545, b=373680, c=865
a=375411, b=374545, c=866
a=376278, b=375411, c=867
a=377146, b=376278, c=868
a=378015, b=377146, c=869
a=378885, b=378015, c=870
a=379756, b=378885, c=871
a=380628, b=379756, c=872
a=381501, b=380628, c=873
a=382375, b=381501, c=874
a=383250, b=382375, c=875
a=384126, b=383250, c=876
a=385003, b=384126, c=877
a=385881, b=385003, c=878
a=386760, b=385881, c=879
a=387640, b=386760, c=880
a=388521, b=387640, c=881
a=389403, b=388521, c=882
a=390286, b=389403, c=883
a=391170, b=390286, c=884
a=392055, b=391170, c=885
a=392941, b=392055, c=886
a=393828, b=392941, c=887
a=394716, b=393828, c=888
a=395605, b=394716, c=889
a=396495, b=395605, c=890
a=397386, b=396495, c=891
a=398278, b=397386, c=892
a=399171, b=398278, c=893
a=400065, b=399171, c=894
a=400960, b=400065, c=895
a=401856, b=400960, c=896
a=402753, b=401856, c=897
a=403651, b=402753, c=898
a=404550, b=403651, c=899
a=405450, b=404550, c=900
a=406351, b=405450, c=901
a=407253, b=406351, c=902
a=408156, b=407253, c=903
a=409060, b=408156, c=904
a=409965, b=409060, c=905
a=410871, b=409965, c=906
a=411778, b=410871, c=907
a=412686, b=411778, c=908
a=413595, b=412686, c=909
a=414505, b=413595, c=910
a=415416, b=414505, c=911
a=416328, b=415416, c=912
a=417241, b=416328, c=913
a=418155, b=417241, c=914
a=419070, b=418155, c=915
a=419986, b=419070, c=916
a=420903, b=419986, c=917
a=421821, b=420903, c=918
a=422740, b=421821, c=919
a=423660, b=422740, c=920
a=424581, b=423660, c=921
a=425503, b=424581, c=922
a=426426, b=425503, c=923
a=427350, b=426426, c=924
a=428275, b=427350, c=925
a=429201, b=428275, c=926
a=430128, b=429201, c=927
a=431056, b=430128, c=928
a=431985, b=431056, c=929
a=432915, b=431985, c=930
a=433846, b=432915, c=931
a=434778, b=433846, c=932
a=435711, b=434778, c=933
a=436645, b=435711, c=934
a=437580, b=436645, c=935
a=438516, b=437580, c=936
a=439453, b=438516, c=937
a=440391, b=439453, c=938
a=441330, b=440391, c=939
a=442270, b=441330, c=940
a=443211, b=442270, c=941
a=444153, b=443211, c=942
a=445096, b=444153, c=943
a=446040, b=445096, c=944
a=446985, b=446040, c=945
a=447931, b=446985, c=946
a=448878, b=447931, c=947
a=449826, b=448878, c=948
a=450775, b=449826, c=949
a=451725, b=450775, c=950
a=452676, b=451725, c=951
a=453628, b=452676, c=952
a=454581, b=453628, c=953
a=455535, b=454581, c=954
a=456490, b=455535, c=955
a=457446, b=456490, c=956
a=458403, b=457446, c=957
a=459361, b=458403, c=958
a=460320, b=459361, c=959
a=461280, b=460320, c=960
a=462241, b=461280, c=961
a=463203, b=462241, c=962
a=464166, b=463203, c=963
a=465130, b=464166, c=964
a=466095, b=465130, c=965
a=467061, b=466095, c=966
a=468028, b=467061, c=967
a=468996, b=468028, c=968
a=469965, b=468996, c=969
a=470935, b=469965, c=970
a=471906, b=470935, c=971
a=472878, b=471906, c=972
a=473851, b=472878, c=973
a=474825, b=473851, c=974
a=475800, b=474825, c=975
a=476776, b=475800, c=976
a=477753, b=476776, c=977
a=478731, b=477753, c=978
a=479710, b=478731, c=979
a=480690, b=479710, c=980
a=481671, b=480690, c=981
a=482653, b=481671, c=982
a=483636, b=482653, c=983
a=484620, b=483636, c=984
a=485605, b=484620, c=985
a=486591, b=485605, c=986
a=487578, b=486591, c=987
a=488566, b=487578, c=988
a=489555, b=488566, c=989
a=490545, b=489555, c=990
a=491536, b=490545, c=991
a=492528, b=491536, c=992
a=493521, b=492528, c=993
a=494515, b=493521, c=994
a=495510, b=494515, c=995
a=496506, b=495510, c=996
a=497503, b=496506, c=997
a=498501, b=497503, c=998
a=499500, b=498501, c=999
a=500500, b=499500, c=1000
a=501501, b=500500, c=1001
a=502503, b=501501, c=1002
a=503506, b=502503, c=1003
a=504510, b=503506, c=1004
a=505515, b=504510, c=1005
